央视频道,#genre#
凤凰中文,P2p://generationnexxxt.com:19806/645385720009117848161b4e340f749d

凤凰资讯,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=1
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://2022.stream-link.org/live/433059615
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰资讯,http://115.231.143.224/playtv-live.ifeng.com/live/06OLEEWQKN4.flv
凤凰资讯,rtmp://115.231.143.224/playtv-live.ifeng.com/live/06OLEEWQKN4
凤凰资讯,http://107.151.203.111:2209/135/hk.php?id=fhzx
凤凰资讯,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://120.84.96.82:808/hls/28/index.m3u8
凤凰资讯,P2p://generationnexxxt.com:19806/0b7958cc2d1c4a6f9f9449e92ad92b9e

TVBS HD,P2p://generationnexxxt.com:19806/644d1a13000e2f842f02b17e6e9f6cae

TVBS新闻,rtmp://9wv7.mine.nu/sat/tv551
TVBS新闻,rtmp://218.32.29.20/sat/tv551
TVBS新闻,rtmp://119.81.124.89/sat/tv551
TVBS新闻,mitv://generationnexxxt.com:19806/beaa6cbcf1034703a97d3295f8c0ae60
TVBS新闻,P2p://generationnexxxt.com:19806/beaa6cbcf1034703a97d3295f8c0ae60

东森新闻,http://61.221.81.93:8078/hls/33/80/ebcnews.m3u8
东森新闻,http://116.11.140.104:8181/tsfile/live/1201_1.m3u8
东森新闻,mitv://generationnexxxt.com:19806/ba830fdb097a47af9f74ef81c7d1d715
东森新闻,P2p://generationnexxxt.com:19806/64677d68000bfdc49616bfd746a567a3
东森新闻,P2p://generationnexxxt.com:19806/645c9fee000e01606ba59bc415d52492

中天新闻,mitv://generationnexxxt.com:19806/6448e5a6000f399c1e95e7f44ef6793c
中天新闻,P2p://generationnexxxt.com:19806/645a505500087efb629eacb405a54a42

民视新闻,http://123.51.230.108:18663/.m3u8
民视新闻,http://61.221.81.93:8078/hls/40/80/ftvnews.m3u8
民视新闻,mitv://generationnexxxt.com:19806/64577cff0001eb7c5795230f6bb8749b


体育频道,#genre#
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
五星体育,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
五星体育,http://222.71.90.218:8888/newlive/live/hls/56/live.m3u8
五星体育,P2p://generationnexxxt.com:19806/951eda934cf3474d99e84a3ec47648fa

劲爆体育,http://cfyy.cc/Cf/bstv/jbtyhd.m3u8
劲爆体育,http://wabc.ml/gudou.php?id=jinbaotiyuHD_7000
劲爆体育,https://live.goodiptv.club/api/bestv.php?id=jbtyhd8m/8000000
劲爆体育,http://suixiaobin.dsmynas.net:5666/ghyx.php?id=JinBaoTiYuHD_6000

广东体育,http://157.122.177.10:9901/tsfile/live/1001_1.m3u8
广东体育,http://171.38.79.141:8181/tsfile/live/1088_1.m3u8
广东体育,http://wabc.ml/gudou.php?id=1413
广东体育,http://120.84.96.33:808/hls/22/index.m3u8
广东体育,P2p://generationnexxxt.com:19806/645e3c3f0008eacb71f036e30c4b2c2f

纬来体育,rtmp://9wv7.mine.nu/sat/tv721
纬来体育,rtmp://218.32.29.20/sat/tv721
纬来体育,http://123.51.230.108:18509/.m3u8
纬来体育,P2p://generationnexxxt.com:19806/801a9a12c10d4d04953332771aee0dba

JJ斗地主,http://hdltctwk.douyucdn2.cn/live/488743rAHScWyyII.xs
JJ斗地主,http://mmitv.top/pltv/huya.php?id=14079954
JJ斗地主,http://epg.112114.xyz/douyu/488743
JJ斗地主,http://bp-caster.bestv.com.cn:80/359/1/video.m3u8

聚合频道,#genre#
电影_星爷,http://mmitv.top/pltv/huya.php?id=11342412
电影_英叔,http://mmitv.top/pltv/huya.php?id=11342421
电影_发哥,http://mmitv.top/pltv/huya.php?id=11342387
电影_成龙,http://mmitv.top/pltv/huya.php?id=11342386
电影_王晶,http://mmitv.top/pltv/huya.php?id=11602058
电影_沈腾,http://mmitv.top/pltv/huya.php?id=11601968
电影_黄渤,http://mmitv.top/pltv/huya.php?id=11352876
电影_强森,http://mmitv.top/pltv/huya.php?id=21059581
电影_漫威,http://mmitv.top/pltv/huya.php?id=11602034
电影_宇宙,http://mmitv.top/pltv/huya.php?id=11342428
电影_怪兽,http://mmitv.top/pltv/huya.php?id=21059577
电影_武侠,http://mmitv.top/pltv/huya.php?id=11342427
电影_警匪,http://mmitv.top/pltv/huya.php?id=11352886
电影_罪犯,http://mmitv.top/pltv/huya.php?id=11352962
电影_枪战,http://mmitv.top/pltv/huya.php?id=21059579
电影_海盗,http://mmitv.top/pltv/huya.php?id=21059595
电影_赛车,http://mmitv.top/pltv/huya.php?id=11279247
电影_推荐,http://mmitv.top/pltv/huya.php?id=11602041
电影_救援,http://mmitv.top/pltv/huya.php?id=21059594
电影_热血,http://mmitv.top/pltv/huya.php?id=11352934
电影_盗墓,http://mmitv.top/pltv/huya.php?id=21059552
电影_贺岁,http://mmitv.top/pltv/huya.php?id=11601971
电影_玄幻,http://mmitv.top/pltv/huya.php?id=11342414
电影_谍战,http://mmitv.top/pltv/huya.php?id=21059585
电影_战争,http://mmitv.top/pltv/huya.php?id=21059592
电影_喜剧,http://mmitv.top/pltv/huya.php?id=11352877
电影_港片,http://mmitv.top/pltv/huya.php?id=11602043
电影_国产,http://mmitv.top/pltv/huya.php?id=11352973
电影_周星星,http://mmitv.top/pltv/huya.php?id=11336587
电影_李连杰,http://mmitv.top/pltv/huya.php?id=11342390
电影_洪金宝,http://mmitv.top/pltv/huya.php?id=11279251
电影_梁家辉,http://mmitv.top/pltv/huya.php?id=11342429
电影_许冠英,http://mmitv.top/pltv/huya.php?id=11601972
电影_刘德华,http://mmitv.top/pltv/huya.php?id=11342424
电影_斯坦森,http://mmitv.top/pltv/huya.php?id=21059588
电影_小鬼头,http://mmitv.top/pltv/huya.php?id=11352963
电影_八点档,http://mmitv.top/pltv/huya.php?id=880261
电影_蜘蛛侠,http://mmitv.top/pltv/huya.php?id=21059599
电影_贺岁片,http://mmitv.top/pltv/huya.php?id=11601986
电影_功夫片,http://mmitv.top/pltv/huya.php?id=11352941
电影_黑帮片,http://mmitv.top/pltv/huya.php?id=11336719
电影_丧尸片,http://mmitv.top/pltv/huya.php?id=21059578
电影_灾难片,http://mmitv.top/pltv/huya.php?id=11602075
电影_谍战片,http://mmitv.top/pltv/huya.php?id=21059587
电影_战争片,http://mmitv.top/pltv/huya.php?id=21059574
电影_犯罪片,http://mmitv.top/pltv/huya.php?id=11352974
电影_古装片,http://mmitv.top/pltv/huya.php?id=11336590
电影_高分动作,http://mmitv.top/pltv/huya.php?id=11352884
电影_动作电影,http://mmitv.top/pltv/huya.php?id=11602077
